size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,0,30,15,2,2,0,medium,alns_pinn_full,direct,3,M30_P15_seed0_medium,not_milp,not_milp,False,not_milp,450,450,0.0,59,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,14.0,22.0,3.0,101.0,30.0,500.0,21.0,21.0,15.0,18.0,25.0,33.0,38.0,12.0,17.0,239.502216,252.121779,1616.514678,0.0,0.0,70.150195,1.0,1.0,29,1.034483,0,0.028034,3527.813144122825,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,54,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,15.0,25.0,5.0,101.0,30.0,500.0,28.0,13.0,17.0,19.0,23.0,42.0,29.0,14.0,15.0,182.518896,216.955581,1315.452034,0.0,0.0,60.104734,1.0,1.0,29,1.034483,0,0.026603,2878.6838867228253,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,dbscan,3,M30_P15_seed0_medium_dbscan3,not_milp,not_milp,False,not_milp,90,54,0.4,12,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,15.0,22.0,12.0,101.0,30.0,500.0,26.0,21.0,15.0,8.0,30.0,37.0,37.0,10.0,16.0,211.094391,108.144864,3482.006018,0.413793,0.413793,56.447989,0.714286,0.428571,29,1.034483,989.0768,0.013937,2711.195106522826,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,direct,3,M30_P15_seed1_medium,not_milp,not_milp,False,not_milp,450,450,0.0,62,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,10.0,25.0,3.0,101.0,30.0,500.0,20.0,26.0,21.0,20.0,13.0,37.0,32.0,10.0,21.0,260.051711,287.853742,1446.03852,0.0,0.0,56.198499,1.0,1.0,27,1.111111,0,0.031418,3643.768363537699,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,63,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,24.0,23.0,4.0,101.0,30.0,500.0,28.0,22.0,19.0,12.0,19.0,30.0,34.0,10.0,26.0,235.185895,274.263667,1301.56269,0.0,0.0,51.731305,1.0,1.0,30,1.0,0,0.027786,3341.308692057699,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,dbscan,3,M30_P15_seed1_medium_dbscan3,not_milp,not_milp,False,not_milp,90,58,0.355556,14,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,13.0,25.0,12.0,101.0,30.0,500.0,23.0,19.0,21.0,20.0,17.0,39.0,35.0,13.0,13.0,239.67256,167.225114,3350.677394,0.233333,0.233333,49.004122,0.571429,0.571429,30,1.0,461.8435,0.011525,3121.237569777699,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,direct,3,M50_P25_seed0_medium,not_milp,not_milp,False,not_milp,1250,1250,0.0,103,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,79.0,19.0,21.0,8.0,101.0,50.0,900.0,16.0,23.0,19.0,13.0,29.0,28.0,38.0,8.0,26.0,503.078647,619.174825,2569.977634,0.0,0.0,151.561654,1.0,1.0,49,1.020408,0,0.069942,12534.36159880753,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,kmeans,3,M50_P25_seed0_medium_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,107,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,16.0,23.0,1.0,101.0,50.0,900.0,22.0,15.0,21.0,12.0,30.0,38.0,33.0,10.0,19.0,469.103695,612.788059,2210.077894,0.0,0.0,131.441136,0.916667,0.916667,50,1.0,0,0.068558,10996.593976607526,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,dbscan,3,M50_P25_seed0_medium_dbscan3,not_milp,not_milp,False,not_milp,150,76,0.493333,13,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,70.0,20.0,30.0,11.0,101.0,50.0,900.0,34.0,11.0,17.0,11.0,27.0,35.0,31.0,16.0,18.0,515.840122,200.483967,8683.940785,0.6,0.6,131.35343,0.833333,0.5,50,1.0,2189.4075,0.020756,11156.090182487533,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,direct,3,M50_P25_seed1_medium,not_milp,not_milp,False,not_milp,1250,1250,0.0,99,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,72.0,12.0,28.0,6.0,101.0,50.0,900.0,25.0,17.0,24.0,17.0,17.0,43.0,27.0,17.0,13.0,500.214335,647.844104,2581.842911,0.0,0.0,137.336951,1.0,1.0,50,1.0,0,0.071847,11554.94913134422,0.0,0.0
