size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,0,30,15,2,2,0,medium,alns_pinn_full,direct,3,M30_P15_seed0_medium,not_milp,not_milp,False,not_milp,450,450,0.0,59,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,14.0,22.0,3.0,101.0,30.0,500.0,21.0,21.0,15.0,18.0,25.0,33.0,38.0,12.0,17.0,227.30934,244.290663,1633.792152,0.0,0.0,66.62087,1.0,1.0,0,0.03395,3346.559560842825,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,54,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,15.0,25.0,5.0,101.0,30.0,500.0,28.0,13.0,17.0,19.0,23.0,42.0,29.0,14.0,15.0,185.704118,219.611466,1336.074931,0.0,0.0,62.33484,1.0,1.0,0,0.041642,2972.424599322825,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,dbscan,3,M30_P15_seed0_medium_dbscan3,not_milp,not_milp,False,not_milp,90,54,0.4,12,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,15.0,22.0,12.0,101.0,30.0,500.0,26.0,21.0,15.0,8.0,30.0,37.0,37.0,10.0,16.0,225.265116,123.25141,3508.17493,0.4,0.4,63.790729,0.714286,0.428571,989.0768,0.016631,2936.3169681228255,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,direct,3,M30_P15_seed1_medium,not_milp,not_milp,False,not_milp,450,450,0.0,62,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,10.0,25.0,3.0,101.0,30.0,500.0,20.0,26.0,21.0,20.0,13.0,37.0,32.0,10.0,21.0,244.582478,282.139435,1508.372753,0.0,0.0,54.04538,1.0,1.0,0,0.03597,3526.196169977699,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,63,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,24.0,23.0,4.0,101.0,30.0,500.0,28.0,22.0,19.0,12.0,19.0,30.0,34.0,10.0,26.0,235.185895,274.263667,1301.56269,0.0,0.0,52.79067,1.0,1.0,0,0.040607,3378.3542250576998,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,dbscan,3,M30_P15_seed1_medium_dbscan3,not_milp,not_milp,False,not_milp,90,58,0.355556,14,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,13.0,25.0,12.0,101.0,30.0,500.0,23.0,19.0,21.0,20.0,17.0,39.0,35.0,13.0,13.0,239.67256,167.225114,3350.677394,0.233333,0.233333,53.366971,0.571429,0.571429,461.8435,0.017386,3303.133490777699,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,direct,3,M50_P25_seed0_medium,not_milp,not_milp,False,not_milp,1250,1250,0.0,103,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,79.0,19.0,21.0,8.0,101.0,50.0,900.0,16.0,23.0,19.0,13.0,29.0,28.0,38.0,8.0,26.0,503.078647,619.174825,2601.619784,0.0,0.0,153.274361,1.0,1.0,0,0.101886,12615.88833792753,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,kmeans,3,M50_P25_seed0_medium_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,107,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,16.0,23.0,1.0,101.0,50.0,900.0,22.0,15.0,21.0,12.0,30.0,38.0,33.0,10.0,19.0,469.103695,612.788059,2210.077894,0.0,0.0,132.810008,0.916667,0.916667,0,0.098488,11057.336928607527,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,dbscan,3,M50_P25_seed0_medium_dbscan3,not_milp,not_milp,False,not_milp,150,76,0.493333,13,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,70.0,20.0,30.0,11.0,101.0,50.0,900.0,34.0,11.0,17.0,11.0,27.0,35.0,31.0,16.0,18.0,515.840122,200.483967,8683.940785,0.6,0.6,140.01106,0.833333,0.5,2189.4075,0.02867,11642.166902487532,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,direct,3,M50_P25_seed1_medium,not_milp,not_milp,False,not_milp,1250,1250,0.0,99,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,72.0,12.0,28.0,6.0,101.0,50.0,900.0,25.0,17.0,24.0,17.0,17.0,43.0,27.0,17.0,13.0,500.214335,647.844104,2581.842911,0.0,0.0,138.872545,1.0,1.0,0,0.108398,11638.701728344222,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,100,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,9.0,23.0,6.0,101.0,50.0,900.0,23.0,20.0,20.0,14.0,23.0,39.0,35.0,15.0,11.0,450.622536,617.403276,2209.459151,0.0,0.0,132.655368,0.916667,0.916667,0,0.104616,11091.33023042422,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,dbscan,3,M50_P25_seed1_medium_dbscan3,not_milp,not_milp,False,not_milp,150,74,0.506667,12,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,14.0,22.0,14.0,101.0,50.0,900.0,24.0,15.0,18.0,17.0,26.0,42.0,35.0,11.0,12.0,516.546385,214.699742,8986.317559,0.6,0.6,131.622118,0.416667,0.25,2349.0558,0.033095,10743.65531874422,0.0,0.0
