method,candidate_mode,size,tower_count,stop_count,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,feasible_top_risk_coverage_mean,feasible_top_risk_coverage_sd,sortie_count_mean,sortie_count_sd,avg_towers_per_sortie_mean,avg_towers_per_sortie_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,milp_gap_mean,milp_gap_sd,milp_optimizes_rwct_mean,milp_optimizes_rwct_sd,optimality_gap_pct_mean,optimality_gap_pct_sd,total_candidate_pairs_mean,total_candidate_pairs_sd,screened_pair_count_mean,screened_pair_count_sd,candidate_pair_reduction_mean,candidate_pair_reduction_sd,feasible_candidate_pairs_mean,feasible_candidate_pairs_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd,alns_objective_evaluations_mean,alns_objective_evaluations_sd,alns_score_cache_size_mean,alns_score_cache_size_sd,alns_repair_position_evaluations_mean,alns_repair_position_evaluations_sd,destroy_random_removal_uses_mean,destroy_random_removal_uses_sd,destroy_worst_energy_removal_uses_mean,destroy_worst_energy_removal_uses_sd,destroy_shaw_related_removal_uses_mean,destroy_shaw_related_removal_uses_sd,destroy_path_segment_removal_uses_mean,destroy_path_segment_removal_uses_sd,destroy_uav_chain_removal_uses_mean,destroy_uav_chain_removal_uses_sd,repair_greedy_insert_repair_uses_mean,repair_greedy_insert_repair_uses_sd,repair_regret_insert_repair_uses_mean,repair_regret_insert_repair_uses_sd,repair_energy_minimum_insert_repair_uses_mean,repair_energy_minimum_insert_repair_uses_sd,repair_synchronization_aware_insert_repair_uses_mean,repair_synchronization_aware_insert_repair_uses_sd,baseline_candidate_evaluations_mean,baseline_candidate_evaluations_sd,baseline_generations_mean,baseline_generations_sd,baseline_population_size_mean,baseline_population_size_sd,baseline_ant_count_mean,baseline_ant_count_sd,baseline_best_order_score_mean,baseline_best_order_score_sd,alns_risk_value_weight_mean,alns_risk_value_weight_sd,alns_adaptive_enabled_mean,alns_adaptive_enabled_sd,source,sensitivity_factor,sensitivity_level
aco,kmeans,L,150,75.0,medium,10,1239.303195,50.330259,2733.764933,164.523119,6738.934425,222.257524,0.002667,0.006441,0.002667,0.006441,341.898611,34.118318,0.972973,0.025481,0.964865,0.028631,150.0,0.0,1.0,0.0,0.0,0.0,0.403415,0.043621,91776.370341,4304.247945,0.0,0.0,0.0,0.0,0.0,0.0,11250.0,0.0,449.2,1.932184,0.960071,0.000172,290.7,23.485456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,40.0,0.0,0.0,0.0,24.0,0.0,51027.989091,2864.769686,0.0,0.0,0.0,0.0,P2,,
aco,kmeans,L,200,100.0,medium,10,1334.541594,51.960908,3997.31039,229.742507,8894.906295,360.554397,0.004,0.008097,0.004,0.008097,368.775392,25.118318,0.984,0.018379,0.982,0.02201,200.0,0.0,1.0,0.0,16.38907,51.82679,0.643144,0.085326,129906.619432,6174.542603,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,598.4,3.238655,0.97008,0.000162,398.7,36.524117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,40.0,0.0,0.0,0.0,24.0,0.0,89982.911432,2353.20876,0.0,0.0,0.0,0.0,P2,,
aco,kmeans,L,300,150.0,medium,10,1779.967526,80.991051,6881.890809,313.833592,13253.676069,382.453279,0.001,0.00161,0.001,0.00161,487.213842,28.316741,0.976,0.015137,0.974667,0.013259,300.0,0.0,1.0,0.0,0.0,0.0,1.310051,0.334167,258762.643537,12618.649953,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,899.4,0.966092,0.980013,2.1e-05,625.1,46.800878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,40.0,0.0,0.0,0.0,24.0,0.0,202308.934952,9138.321129,0.0,0.0,0.0,0.0,P2,,
aco,kmeans,L,500,250.0,medium,10,3644.801673,113.065318,14939.016111,615.611884,22617.962167,646.318718,0.0032,0.00391,0.0032,0.00391,1001.609757,32.634549,0.9752,0.008804,0.9736,0.008475,500.0,0.0,1.0,0.0,0.0,0.0,2.269735,0.291231,882388.556914,37394.23572,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,1496.8,3.910101,0.988026,3.1e-05,964.5,71.232405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,40.0,0.0,0.0,0.0,24.0,0.0,562087.700294,15256.249623,0.0,0.0,0.0,0.0,P2,,
aco,kmeans,M,30,15.0,medium,10,219.607284,17.727501,256.522881,30.77188,1353.970802,52.821411,0.0,0.0,0.0,0.0,53.550976,11.484139,0.942857,0.073771,0.942857,0.073771,30.0,0.0,1.0,0.0,0.0,0.0,0.057438,0.003277,3059.615288,295.801503,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,90.0,0.0,0.8,0.0,55.5,4.813176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,50.0,0.0,0.0,0.0,24.0,0.0,2063.118603,251.175458,0.0,0.0,0.0,0.0,P2,,
aco,kmeans,M,50,25.0,medium,10,447.010558,24.501893,593.789975,42.059798,2267.752158,83.542295,0.008,0.013984,0.008,0.013984,120.233838,11.20429,0.95,0.043033,0.95,0.043033,50.0,0.0,1.0,0.0,0.0,0.0,0.109998,0.006637,10775.948986,624.889155,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,149.2,1.398412,0.88064,0.001119,93.9,6.436873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,50.0,0.0,0.0,0.0,24.0,0.0,6134.394683,467.742971,0.0,0.0,0.0,0.0,P2,,
aco,kmeans,M,75,35.0,medium,10,481.96731,31.467592,1013.10351,78.079318,3446.146774,103.000523,0.001333,0.004216,0.001333,0.004216,122.008556,16.36768,0.966666,0.028689,0.966666,0.028689,75.0,0.0,1.0,0.0,0.0,0.0,0.19693,0.026921,17337.457493,1523.992299,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,0.0,224.8,0.632456,0.914362,0.000241,135.7,14.150383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,50.0,0.0,0.0,0.0,24.0,0.0,12365.472089,1294.803668,0.0,0.0,0.0,0.0,P2,,
aco,kmeans,M,100,50.0,medium,10,717.669169,42.815907,1583.963998,132.405198,4415.93129,142.916817,0.002,0.004216,0.002,0.004216,189.74135,14.535362,0.968,0.031552,0.968,0.031552,100.0,0.0,1.0,0.0,0.0,0.0,0.248694,0.049446,34446.66566,2069.426545,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,50.0,0.0,0.0,0.0,24.0,0.0,23320.705562,1452.514545,0.0,0.0,0.0,0.0,P2,,
alns_fixed,kmeans,L,150,75.0,medium,10,1216.519242,43.559945,2700.253232,98.507879,6739.570825,223.216574,0.002667,0.006441,0.002667,0.006441,588.105888,35.095727,0.24054,0.066752,0.24054,0.066752,150.0,0.0,1.0,0.0,0.0,0.0,0.639259,0.071196,87377.785156,3328.181897,0.0,0.0,0.0,0.0,0.0,0.0,11250.0,0.0,449.2,1.932184,0.960071,0.000172,290.7,23.485456,55.1,1.72884,18.2,4.263541,4.9,1.72884,15.5,4.672615,61.0,0.0,150.0,0.0,1620.0,0.0,11.0,3.559026,10.3,2.58414,14.4,1.646545,12.0,2.357023,12.3,4.056545,17.3,3.198958,17.6,5.015531,17.8,5.553777,7.3,2.750757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P2,,
alns_fixed,kmeans,L,200,100.0,medium,10,1274.151619,56.125727,3762.470744,195.634132,8895.800998,361.515949,0.004,0.008097,0.004,0.008097,627.219244,41.184716,0.236,0.060222,0.236,0.060222,200.0,0.0,1.0,0.0,16.38907,51.82679,1.195922,0.198746,121071.012626,5962.211916,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,598.4,3.238655,0.97008,0.000162,398.7,36.524117,53.7,1.766981,20.8,4.779586,6.3,1.766981,15.8,5.09466,61.0,0.0,200.0,0.0,2160.0,0.0,15.2,3.765339,10.7,2.58414,12.5,2.798809,9.3,4.056545,12.3,2.830391,17.9,2.806738,16.3,5.250397,15.9,5.130519,9.9,2.282786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P2,,
