size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,17.0,20.0,3.0,101.0,50.0,900.0,15.0,19.0,23.0,19.0,24.0,42.0,30.0,11.0,17.0,103.086942,618.143857,2211.976027,0.0,0.0,60709.293726,0.916667,0.916667,0,0.066524,2475.1522335024006,0.0,0.0
M,1,50,25,2,2,0,high,no_pinn,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,False,0.0,True,83.0,18.0,17.0,10.0,101.0,50.0,900.0,15.0,25.0,14.0,15.0,31.0,26.0,16.0,28.0,30.0,106.72368,665.27249,2210.077894,0.02,0.02,87468.801157,0.166667,0.166667,0,0.055738,1908.7585083423996,0.0,0.0
M,1,50,25,2,2,0,high,no_adaptive,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,True,0.25,False,61.0,30.0,39.0,3.0,101.0,50.0,900.0,19.0,21.0,14.0,16.0,30.0,25.0,23.0,23.0,29.0,103.086942,618.143857,2211.976027,0.0,0.0,60709.293726,0.916667,0.916667,0,0.073635,2475.1522335024006,0.0,0.0
M,1,50,25,2,2,0,high,no_uq,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,False,0.25,True,78.0,25.0,22.0,1.0,101.0,50.0,900.0,24.0,24.0,21.0,12.0,19.0,31.0,37.0,12.0,20.0,103.295522,647.077241,2210.077894,0.02,0.02,61114.734961,0.916667,0.833333,0,0.068344,2479.3651523423996,0.0,0.0
M,1,50,25,2,2,0,high,no_risk_value,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,True,0.0,True,88.0,23.0,12.0,11.0,101.0,50.0,900.0,20.0,20.0,14.0,14.0,32.0,25.0,23.0,31.0,21.0,107.831471,587.974582,2211.976027,0.0,0.0,87847.98593,0.166667,0.166667,0,0.068698,1909.4893155024001,0.0,0.0
M,1,50,25,2,2,0,high,no_energy_repair,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,84.0,19.0,16.0,3.0,101.0,50.0,900.0,21.0,19.0,19.0,13.0,28.0,38.0,38.0,0.0,24.0,103.086942,618.143857,2211.976027,0.0,0.0,60709.293726,0.916667,0.916667,0,0.061584,2475.1522335024006,0.0,0.0
M,1,50,25,2,2,0,high,no_sync_repair,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,24.0,22.0,4.0,101.0,50.0,900.0,30.0,15.0,19.0,13.0,23.0,50.0,31.0,19.0,0.0,103.086942,618.143857,2211.976027,0.0,0.0,60709.293726,0.916667,0.916667,0,0.065449,2475.1522335024006,0.0,0.0
M,1,50,25,2,2,0,high,no_clustering,direct,3,M50_P25_seed0_high,not_milp,1250,1250,0.0,85,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,30.0,19.0,1.0,101.0,50.0,900.0,28.0,16.0,20.0,14.0,22.0,38.0,35.0,10.0,17.0,114.067732,625.884327,2601.619784,0.0,0.0,65406.194091,0.833333,0.833333,0,0.067649,2737.7930095424,0.0,0.0
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,73.0,21.0,27.0,4.0,101.0,50.0,900.0,24.0,16.0,21.0,12.0,27.0,40.0,28.0,15.0,17.0,105.960169,656.727944,2211.340411,0.0,0.0,55073.896115,0.916667,0.916667,0,0.060345,2245.081591052,0.0,0.0
M,1,50,25,2,2,1,high,no_pinn,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,False,0.0,True,91.0,18.0,9.0,13.0,101.0,50.0,900.0,18.0,22.0,18.0,21.0,21.0,36.0,22.0,28.0,14.0,102.209893,544.187345,2211.203907,0.02,0.02,77218.807407,0.25,0.25,0,0.051222,1967.778668252,0.0,0.0
