size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,quantile_z,1.28,1.28,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,95,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,18.0,22.0,2.0,101.0,50.0,900.0,19.0,15.0,22.0,12.0,32.0,42.0,29.0,10.0,19.0,482.54088,639.538647,2210.077894,0.0,0.0,132.8136,0.916667,0.916667,50,1.0,0,0.209799,11238.031241367527,0.0,0.0,,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,quantile_z,1.645,1.645,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,28.0,19.0,5.0,101.0,50.0,900.0,25.0,19.0,21.0,14.0,21.0,45.0,29.0,11.0,15.0,462.416708,626.928578,2211.976027,0.0,0.0,124.769259,0.916667,0.916667,50,1.0,0,0.19711,10689.33338696753,0.0,0.0,,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,quantile_z,1.96,1.96,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,82,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,28.0,19.0,5.0,101.0,50.0,900.0,25.0,19.0,21.0,14.0,21.0,45.0,29.0,11.0,15.0,456.128774,599.148895,2211.976027,0.0,0.0,122.08572,0.916667,0.916667,50,1.0,0,0.207038,10320.329566567532,0.0,0.0,,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,reserve_ratio,0.08,,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,92,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,17.0,23.0,6.0,101.0,50.0,900.0,23.0,17.0,17.0,13.0,30.0,38.0,34.0,13.0,15.0,482.883179,651.416234,2210.077894,0.0,0.0,134.278575,0.916667,0.916667,50,1.0,0,0.232136,11372.87703280753,0.0,0.0,0.08,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,reserve_ratio,0.12,,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,28.0,19.0,5.0,101.0,50.0,900.0,25.0,19.0,21.0,14.0,21.0,45.0,29.0,11.0,15.0,462.416708,626.928578,2211.976027,0.0,0.0,124.769259,0.916667,0.916667,50,1.0,0,0.260186,10689.33338696753,0.0,0.0,0.12,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,reserve_ratio,0.2,,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,28.0,19.0,5.0,101.0,50.0,900.0,25.0,19.0,21.0,14.0,21.0,45.0,29.0,11.0,15.0,462.416708,626.928578,2211.976027,0.0,0.0,124.769259,0.916667,0.916667,50,1.0,0,0.208532,10689.33338696753,0.0,0.0,0.2,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,iteration_budget,50,,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,40.0,20.0,10.0,5.0,51.0,50.0,450.0,10.0,7.0,16.0,6.0,11.0,21.0,14.0,6.0,9.0,462.416708,626.928578,2211.976027,0.0,0.0,124.769259,0.916667,0.916667,50,1.0,0,0.21867,10689.33338696753,0.0,0.0,,50,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,iteration_budget,100,,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,28.0,19.0,5.0,101.0,50.0,900.0,25.0,19.0,21.0,14.0,21.0,45.0,29.0,11.0,15.0,462.416708,626.928578,2211.976027,0.0,0.0,124.769259,0.916667,0.916667,50,1.0,0,0.256984,10689.33338696753,0.0,0.0,,100,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,iteration_budget,160,,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,138.0,43.0,22.0,5.0,161.0,50.0,1440.0,46.0,30.0,30.0,22.0,32.0,71.0,57.0,12.0,20.0,462.416708,626.928578,2211.976027,0.0,0.0,124.769259,0.916667,0.916667,50,1.0,0,0.226326,10689.33338696753,0.0,0.0,,160,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,uav_count,2,,M50_P25_seed0_high_uav_count2_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,28.0,19.0,5.0,101.0,50.0,900.0,25.0,19.0,21.0,14.0,21.0,45.0,29.0,11.0,15.0,488.129583,652.307287,2211.976027,0.0,0.0,139.635464,0.916667,0.916667,50,1.0,0,0.241349,11697.61037796753,0.0,0.0,,,2
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,uav_count,4,,M50_P25_seed0_high_uav_count4_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,28.0,19.0,5.0,101.0,50.0,900.0,25.0,19.0,21.0,14.0,21.0,45.0,29.0,11.0,15.0,462.416708,626.928578,2211.976027,0.0,0.0,124.769259,0.916667,0.916667,50,1.0,0,0.209907,10689.33338696753,0.0,0.0,,,4
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,uav_count,6,,M50_P25_seed0_high_uav_count6_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,28.0,19.0,5.0,101.0,50.0,900.0,25.0,19.0,21.0,14.0,21.0,45.0,29.0,11.0,15.0,462.416708,626.928578,2211.976027,0.0,0.0,124.769259,0.916667,0.916667,50,1.0,0,0.202232,10689.33338696753,0.0,0.0,,,6
